Rk,Name,Age,Tm,Lg,G,PA,AB,R,H,B2,B3,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS,TB,GDP,HBP,SH,SF,IBB,PosSummary
1411,1412,Mac Williamson\willima11,26,SFG,NL,28,73,68,8,16,2,0,3,6,1,1,5,25,0.235,0.28800000000000003,0.397,0.685,79.0,27,2,0,0,0,1,9/7D
1418,1419,Jesse Winker*\winkeje01,23,CIN,NL,47,137,121,21,36,7,0,7,15,1,1,15,24,0.298,0.375,0.529,0.904,133.0,64,2,0,1,0,0,9/D7
1419,1420,Dan Winkler\winklda01,27,ATL,NL,16,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
1420,1421,Matt Wisler\wislema01,24,ATL,NL,20,3,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0,0,0,1,0,0,1
1421,1422,Nick Wittgren\wittgni01,26,MIA,NL,34,4,4,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100.0,0,0,0,0,0,0,1
1422,1423,Asher Wojciechowski\wojcias01,28,CIN,NL,23,14,14,0,1,0,0,0,0,0,0,0,11,0.071,0.071,0.071,0.14300000000000002,-62.0,1,0,0,0,0,0,1
1423,1424,Tony Wolters*\wolteto01,25,COL,NL,83,266,229,30,55,8,1,0,16,0,1,33,55,0.24,0.341,0.284,0.625,58.0,65,9,2,2,0,9,2/45
1424,1425,Kolten Wong*\wongko01,26,STL,NL,108,411,354,55,101,27,3,4,42,8,2,41,60,0.285,0.376,0.41200000000000003,0.7879999999999999,110.0,146,4,12,1,3,11,4
1425,1426,Alex Wood\woodal02,26,LAD,NL,27,58,52,1,3,0,0,0,4,0,0,2,29,0.057999999999999996,0.09300000000000001,0.057999999999999996,0.15,-59.0,3,1,0,4,0,0,1
1431,1432,Brandon Woodruff*\woodrbr01,24,MIL,NL,7,12,10,2,2,0,0,0,0,0,0,1,2,0.2,0.273,0.2,0.473,27.0,2,0,0,1,0,0,/1
1433,1434,Vance Worley\worleva01,29,MIA,NL,25,27,22,0,4,0,0,0,3,0,0,0,8,0.182,0.182,0.182,0.364,-1.0,4,1,0,5,0,0,1
1438,1439,Christian Yelich*\yelicch01,25,MIA,NL,156,695,602,100,170,36,2,18,81,16,2,80,137,0.282,0.369,0.439,0.807,118.0,264,13,6,0,6,4,*8
1444,1445,Mark Zagunis\zagunma01,24,CHC,NL,7,18,14,0,0,0,0,0,1,2,0,4,6,0.0,0.222,0.0,0.222,-34.0,0,0,0,0,0,0,/9
1445,1446,Rob Zastryzny\zastrro01,25,CHC,NL,4,3,3,0,1,0,0,0,0,0,0,0,0,0.33299999999999996,0.33299999999999996,0.33299999999999996,0.667,75.0,1,0,0,0,0,0,/1
1446,1447,Brad Ziegler\zieglbr01,37,MIA,NL,51,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
1448,1449,Ryan Zimmerman\zimmery01,32,WSN,NL,144,576,524,90,159,33,0,36,108,1,0,44,126,0.303,0.358,0.573,0.93,136.0,300,16,3,0,5,1,*3/D
1450,1451,Ben Zobrist#\zobribe01,36,CHC,NL,128,496,435,58,101,20,3,12,50,2,2,54,71,0.23199999999999998,0.318,0.375,0.693,79.0,163,13,2,2,3,2,479/36
